Władca pierścieni: Drużyna Pierścienia,J.R.R. Tolkien
Yüzüklerin Efendisi: İki Kule,J.R.R. Tolkien
Bein kokhavim,Hans Zimmer
Bein kokhavim,Anne Hathaway
Bein kokhavim,Christopher Nolan
Władca pierścieni: Drużyna Pierścienia,Orlando Bloom
Yüzüklerin Efendisi: İki Kule,Orlando Bloom
Władca pierścieni: Drużyna Pierścienia,Elijah Wood
Yüzüklerin Efendisi: İki Kule,Elijah Wood
Bein kokhavim,Lynda Obst
Władca pierścieni: Drużyna Pierścienia,Fran Walsh
Yüzüklerin Efendisi: İki Kule,Fran Walsh
Władca pierścieni: Drużyna Pierścienia,Sean Bean
Yüzüklerin Efendisi: İki Kule,Viggo Mortensen
Bein kokhavim,Emma Thomas
Władca pierścieni: Drużyna Pierścienia,Ian McKellen
Yüzüklerin Efendisi: İki Kule,Ian McKellen
Władca pierścieni: Drużyna Pierścienia,Peter Jackson
Yüzüklerin Efendisi: İki Kule,Peter Jackson
Bein kokhavim,Hoyte Van Hoytema
Bein kokhavim,Jessica Chastain
Yüzüklerin Efendisi: İki Kule,Stephen Sinclair
Bein kokhavim,Matthew McConaughey
Bein kokhavim,Jonathan Nolan
Władca pierścieni: Drużyna Pierścienia,Tim Sanders
Władca pierścieni: Drużyna Pierścienia,Philippa Boyens
Yüzüklerin Efendisi: İki Kule,Philippa Boyens
Bein kokhavim,Mackenzie Foy
Władca pierścieni: Drużyna Pierścienia,Barrie M. Osborne
Yüzüklerin Efendisi: İki Kule,Barrie M. Osborne
